run_order,run_id,agent,task_id,task_slug,task_complexity,condition,replication,condition_order_within_pair,start_tag,task_spec
15,task-6-codex-baseline-r2,codex,task-6,login-empty-password,complex,baseline,2,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
16,task-6-codex-cgp-r2,codex,task-6,login-empty-password,complex,cgp,2,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
17,task-6-codex-baseline-r3,codex,task-6,login-empty-password,complex,baseline,3,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
18,task-6-codex-cgp-r3,codex,task-6,login-empty-password,complex,cgp,3,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
19,task-4-codex-baseline-r1,codex,task-4,parse-config-refactor,medium,baseline,1,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
20,task-4-codex-cgp-r1,codex,task-4,parse-config-refactor,medium,cgp,1,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
21,task-4-codex-baseline-r2,codex,task-4,parse-config-refactor,medium,baseline,2,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
22,task-4-codex-cgp-r2,codex,task-4,parse-config-refactor,medium,cgp,2,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
23,task-4-codex-baseline-r3,codex,task-4,parse-config-refactor,medium,baseline,3,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
24,task-4-codex-cgp-r3,codex,task-4,parse-config-refactor,medium,cgp,3,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
25,task-2-codex-baseline-r1,codex,task-2,user-docstring,simple,baseline,1,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
26,task-2-codex-cgp-r1,codex,task-2,user-docstring,simple,cgp,1,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
27,task-2-codex-baseline-r2,codex,task-2,user-docstring,simple,baseline,2,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
28,task-2-codex-cgp-r2,codex,task-2,user-docstring,simple,cgp,2,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
29,task-2-codex-baseline-r3,codex,task-2,user-docstring,simple,baseline,3,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
30,task-2-codex-cgp-r3,codex,task-2,user-docstring,simple,cgp,3,baseline-then-cgp,task-2-start,docs/task_specs/task-2-user-docstring.md
31,task-5-codex-cgp-r1,codex,task-5,favorite-items,complex,cgp,1,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
32,task-5-codex-baseline-r1,codex,task-5,favorite-items,complex,baseline,1,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
33,task-5-codex-cgp-r2,codex,task-5,favorite-items,complex,cgp,2,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
34,task-5-codex-baseline-r2,codex,task-5,favorite-items,complex,baseline,2,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
35,task-5-codex-cgp-r3,codex,task-5,favorite-items,complex,cgp,3,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
36,task-5-codex-baseline-r3,codex,task-5,favorite-items,complex,baseline,3,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
37,task-6-gemini-cli-baseline-r1,gemini-cli,task-6,login-empty-password,complex,baseline,1,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
38,task-6-gemini-cli-cgp-r1,gemini-cli,task-6,login-empty-password,complex,cgp,1,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
39,task-6-gemini-cli-baseline-r2,gemini-cli,task-6,login-empty-password,complex,baseline,2,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
40,task-6-gemini-cli-cgp-r2,gemini-cli,task-6,login-empty-password,complex,cgp,2,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
41,task-6-gemini-cli-baseline-r3,gemini-cli,task-6,login-empty-password,complex,baseline,3,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
42,task-6-gemini-cli-cgp-r3,gemini-cli,task-6,login-empty-password,complex,cgp,3,baseline-then-cgp,task-6-start,docs/task_specs/task-6-login-empty-password.md
43,task-2-gemini-cli-cgp-r1,gemini-cli,task-2,user-docstring,simple,cgp,1,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
44,task-2-gemini-cli-baseline-r1,gemini-cli,task-2,user-docstring,simple,baseline,1,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
45,task-2-gemini-cli-cgp-r2,gemini-cli,task-2,user-docstring,simple,cgp,2,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
46,task-2-gemini-cli-baseline-r2,gemini-cli,task-2,user-docstring,simple,baseline,2,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
47,task-2-gemini-cli-cgp-r3,gemini-cli,task-2,user-docstring,simple,cgp,3,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
48,task-2-gemini-cli-baseline-r3,gemini-cli,task-2,user-docstring,simple,baseline,3,cgp-then-baseline,task-2-start,docs/task_specs/task-2-user-docstring.md
49,task-4-gemini-cli-baseline-r1,gemini-cli,task-4,parse-config-refactor,medium,baseline,1,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
50,task-4-gemini-cli-cgp-r1,gemini-cli,task-4,parse-config-refactor,medium,cgp,1,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
51,task-4-gemini-cli-baseline-r2,gemini-cli,task-4,parse-config-refactor,medium,baseline,2,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
52,task-4-gemini-cli-cgp-r2,gemini-cli,task-4,parse-config-refactor,medium,cgp,2,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
53,task-4-gemini-cli-baseline-r3,gemini-cli,task-4,parse-config-refactor,medium,baseline,3,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
54,task-4-gemini-cli-cgp-r3,gemini-cli,task-4,parse-config-refactor,medium,cgp,3,baseline-then-cgp,task-4-start,docs/task_specs/task-4-parse-config-refactor.md
55,task-5-gemini-cli-cgp-r1,gemini-cli,task-5,favorite-items,complex,cgp,1,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
56,task-5-gemini-cli-baseline-r1,gemini-cli,task-5,favorite-items,complex,baseline,1,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
57,task-5-gemini-cli-cgp-r2,gemini-cli,task-5,favorite-items,complex,cgp,2,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
58,task-5-gemini-cli-baseline-r2,gemini-cli,task-5,favorite-items,complex,baseline,2,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
59,task-5-gemini-cli-cgp-r3,gemini-cli,task-5,favorite-items,complex,cgp,3,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
60,task-5-gemini-cli-baseline-r3,gemini-cli,task-5,favorite-items,complex,baseline,3,cgp-then-baseline,task-5-start,docs/task_specs/task-5-favorite-items.md
61,task-3-gemini-cli-cgp-r1,gemini-cli,task-3,user-items-endpoint,medium,cgp,1,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
62,task-3-gemini-cli-baseline-r1,gemini-cli,task-3,user-items-endpoint,medium,baseline,1,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
63,task-3-gemini-cli-cgp-r2,gemini-cli,task-3,user-items-endpoint,medium,cgp,2,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
64,task-3-gemini-cli-baseline-r2,gemini-cli,task-3,user-items-endpoint,medium,baseline,2,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
65,task-3-gemini-cli-cgp-r3,gemini-cli,task-3,user-items-endpoint,medium,cgp,3,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
66,task-3-gemini-cli-baseline-r3,gemini-cli,task-3,user-items-endpoint,medium,baseline,3,cgp-then-baseline,task-3-start,docs/task_specs/task-3-user-items-endpoint.md
67,task-1-gemini-cli-cgp-r1,gemini-cli,task-1,input-validation,simple,cgp,1,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
68,task-1-gemini-cli-baseline-r1,gemini-cli,task-1,input-validation,simple,baseline,1,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
69,task-1-gemini-cli-cgp-r2,gemini-cli,task-1,input-validation,simple,cgp,2,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
70,task-1-gemini-cli-baseline-r2,gemini-cli,task-1,input-validation,simple,baseline,2,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
71,task-1-gemini-cli-cgp-r3,gemini-cli,task-1,input-validation,simple,cgp,3,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
72,task-1-gemini-cli-baseline-r3,gemini-cli,task-1,input-validation,simple,baseline,3,cgp-then-baseline,task-1-start,docs/task_specs/task-1-input-validation.md
