dataset,run_order,run_id,agent,task_id,task_slug,task_complexity,condition,replication,record_status,status,run_validity,completed,valid,invalid,execution_mode,work_submitted,task_success,verification_compliance,scope_drift_count,scope_drift_any,scope_drift_files,changed_file_count,changed_files,evidence_trio_completeness,evidence_trio_complete,completed_at,transcript
primary,11,task-3-claude-code-cgp-r3,claude-code,task-3,user-items-endpoint,medium,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-claude-code-cgp-r3-evidence.json;notes/task-3-claude-code-cgp-r3-design.md;runs/task-3-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T18:49:59+00:00,transcripts/claude-print-2026-05-15T184746+0000.json
primary,12,task-3-claude-code-baseline-r3,claude-code,task-3,user-items-endpoint,medium,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py,,,2026-05-15T18:51:49+00:00,transcripts/claude-print-2026-05-15T185022+0000.json
primary,13,task-6-claude-code-baseline-r1,claude-code,task-6,login-empty-password,complex,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js,,,2026-05-15T18:52:41+00:00,transcripts/claude-print-2026-05-15T185152+0000.json
primary,14,task-6-claude-code-cgp-r1,claude-code,task-6,login-empty-password,complex,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-claude-code-cgp-r1-evidence.json;notes/task-6-claude-code-cgp-r1-design.md;runs/task-6-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T18:55:11+00:00,transcripts/claude-print-2026-05-15T185334+0000.json
primary,15,task-6-claude-code-baseline-r2,claude-code,task-6,login-empty-password,complex,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js,,,2026-05-15T18:56:45+00:00,transcripts/claude-print-2026-05-15T185602+0000.json
primary,16,task-6-claude-code-cgp-r2,claude-code,task-6,login-empty-password,complex,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-claude-code-cgp-r2-evidence.json;notes/task-6-claude-code-cgp-r2-design.md;runs/task-6-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T18:59:07+00:00,transcripts/claude-print-2026-05-15T185727+0000.json
primary,17,task-6-claude-code-baseline-r3,claude-code,task-6,login-empty-password,complex,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,2,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js,,,2026-05-15T19:00:44+00:00,transcripts/claude-print-2026-05-15T185951+0000.json
primary,18,task-6-claude-code-cgp-r3,claude-code,task-6,login-empty-password,complex,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-claude-code-cgp-r3-evidence.json;notes/task-6-claude-code-cgp-r3-design.md;runs/task-6-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T19:03:18+00:00,transcripts/claude-print-2026-05-15T190138+0000.json
primary,19,task-4-claude-code-baseline-r1,claude-code,task-4,parse-config-refactor,medium,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/utils/config.py,,,2026-05-15T19:20:19+00:00,transcripts/claude-print-2026-05-15T191839+0000.json
primary,20,task-4-claude-code-cgp-r1,claude-code,task-4,parse-config-refactor,medium,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/utils/config.py;evidence/task-4-claude-code-cgp-r1-evidence.json;notes/task-4-claude-code-cgp-r1-design.md;runs/task-4-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T19:23:53+00:00,transcripts/claude-print-2026-05-15T192152+0000.json
primary,21,task-4-claude-code-baseline-r2,claude-code,task-4,parse-config-refactor,medium,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/utils/config.py,,,2026-05-15T19:26:20+00:00,transcripts/claude-print-2026-05-15T192506+0000.json
primary,22,task-4-claude-code-cgp-r2,claude-code,task-4,parse-config-refactor,medium,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/utils/config.py;evidence/task-4-claude-code-cgp-r2-evidence.json;notes/task-4-claude-code-cgp-r2-design.md;runs/task-4-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T19:29:03+00:00,transcripts/claude-print-2026-05-15T192628+0000.json
primary,23,task-4-claude-code-baseline-r3,claude-code,task-4,parse-config-refactor,medium,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/utils/config.py,,,2026-05-15T19:30:42+00:00,transcripts/claude-print-2026-05-15T192936+0000.json
primary,24,task-4-claude-code-cgp-r3,claude-code,task-4,parse-config-refactor,medium,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/utils/config.py;evidence/task-4-claude-code-cgp-r3-evidence.json;notes/task-4-claude-code-cgp-r3-design.md;runs/task-4-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T19:36:08+00:00,transcripts/claude-print-2026-05-15T193406+0000.json
primary,25,task-2-claude-code-baseline-r1,claude-code,task-2,user-docstring,simple,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/models/user.py,,,2026-05-15T19:39:32+00:00,transcripts/claude-print-2026-05-15T193813+0000.json
primary,26,task-2-claude-code-cgp-r1,claude-code,task-2,user-docstring,simple,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-claude-code-cgp-r1-evidence.json;notes/task-2-claude-code-cgp-r1-design.md;runs/task-2-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T19:42:47+00:00,transcripts/claude-print-2026-05-15T194107+0000.json
primary,27,task-2-claude-code-baseline-r2,claude-code,task-2,user-docstring,simple,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/models/user.py,,,2026-05-15T19:52:29+00:00,transcripts/claude-print-2026-05-15T195127+0000.json
primary,28,task-2-claude-code-cgp-r2,claude-code,task-2,user-docstring,simple,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-claude-code-cgp-r2-evidence.json;notes/task-2-claude-code-cgp-r2-design.md;runs/task-2-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T19:57:59+00:00,transcripts/claude-print-2026-05-15T195608+0000.json
primary,29,task-2-claude-code-baseline-r3,claude-code,task-2,user-docstring,simple,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,1,benchmark-repo/src/models/user.py,,,2026-05-15T20:00:14+00:00,transcripts/claude-print-2026-05-15T195935+0000.json
primary,30,task-2-claude-code-cgp-r3,claude-code,task-2,user-docstring,simple,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-claude-code-cgp-r3-evidence.json;notes/task-2-claude-code-cgp-r3-design.md;runs/task-2-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T20:03:14+00:00,transcripts/claude-print-2026-05-15T200122+0000.json
primary,31,task-5-claude-code-cgp-r1,claude-code,task-5,favorite-items,complex,cgp,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,6,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py;evidence/task-5-claude-code-cgp-r1-evidence.json;notes/task-5-claude-code-cgp-r1-design.md;runs/task-5-claude-code-cgp-r1-run-record.json,3,1,2026-05-15T23:21:35+00:00,transcripts/claude-print-2026-05-15T231907+0000.json
primary,32,task-5-claude-code-baseline-r1,claude-code,task-5,favorite-items,complex,baseline,1,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,3,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py,,,2026-05-15T23:24:26+00:00,transcripts/claude-print-2026-05-15T232256+0000.json
primary,33,task-5-claude-code-cgp-r2,claude-code,task-5,favorite-items,complex,cgp,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,6,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py;evidence/task-5-claude-code-cgp-r2-evidence.json;notes/task-5-claude-code-cgp-r2-design.md;runs/task-5-claude-code-cgp-r2-run-record.json,3,1,2026-05-15T23:28:02+00:00,transcripts/claude-print-2026-05-15T232527+0000.json
primary,34,task-5-claude-code-baseline-r2,claude-code,task-5,favorite-items,complex,baseline,2,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,3,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py,,,2026-05-15T23:30:27+00:00,transcripts/claude-print-2026-05-15T232911+0000.json
primary,35,task-5-claude-code-cgp-r3,claude-code,task-5,favorite-items,complex,cgp,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,5,benchmark-repo/src/api/routes/items.py;benchmark-repo/tests/test_items.py;evidence/task-5-claude-code-cgp-r3-evidence.json;notes/task-5-claude-code-cgp-r3-design.md;runs/task-5-claude-code-cgp-r3-run-record.json,3,1,2026-05-15T23:35:53+00:00,transcripts/claude-print-2026-05-15T233236+0000.json
primary,36,task-5-claude-code-baseline-r3,claude-code,task-5,favorite-items,complex,baseline,3,completed,completed_valid,valid,1,1,0,claude-code-print,1,1,1,0,0,,3,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py,,,2026-05-15T23:37:40+00:00,transcripts/claude-print-2026-05-15T233615+0000.json
primary,37,task-6-aider-baseline-r1,aider,task-6,login-empty-password,complex,baseline,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,1,benchmark-repo/frontend/src/components/LoginForm.jsx,,,2026-05-16T00:15:30+00:00,transcripts/aider-2026-05-16T001523+0000.json
primary,38,task-6-aider-cgp-r1,aider,task-6,login-empty-password,complex,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-aider-cgp-r1-evidence.json;notes/task-6-aider-cgp-r1-design.md;runs/task-6-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:17:28+00:00,transcripts/aider-2026-05-16T001651+0000.json
primary,39,task-6-aider-baseline-r2,aider,task-6,login-empty-password,complex,baseline,2,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,1,benchmark-repo/frontend/src/components/LoginForm.jsx,,,2026-05-16T00:19:55+00:00,transcripts/aider-2026-05-16T001944+0000.json
primary,40,task-6-aider-cgp-r2,aider,task-6,login-empty-password,complex,cgp,2,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-aider-cgp-r2-evidence.json;notes/task-6-aider-cgp-r2-design.md;runs/task-6-aider-cgp-r2-run-record.json,3,1,2026-05-16T00:21:00+00:00,transcripts/aider-2026-05-16T002009+0000.json
primary,41,task-6-aider-baseline-r3,aider,task-6,login-empty-password,complex,baseline,3,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,1,benchmark-repo/frontend/src/components/LoginForm.jsx,,,2026-05-16T00:22:28+00:00,transcripts/aider-2026-05-16T002219+0000.json
primary,42,task-6-aider-cgp-r3,aider,task-6,login-empty-password,complex,cgp,3,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/frontend/src/components/LoginForm.jsx;benchmark-repo/frontend/tests/components.test.js;evidence/task-6-aider-cgp-r3-evidence.json;notes/task-6-aider-cgp-r3-design.md;runs/task-6-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:24:03+00:00,transcripts/aider-2026-05-16T002314+0000.json
primary,43,task-2-aider-cgp-r1,aider,task-2,user-docstring,simple,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-aider-cgp-r1-evidence.json;notes/task-2-aider-cgp-r1-design.md;runs/task-2-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:24:54+00:00,transcripts/aider-2026-05-16T002420+0000.json
primary,44,task-2-aider-baseline-r1,aider,task-2,user-docstring,simple,baseline,1,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:26:19+00:00,transcripts/aider-2026-05-16T002613+0000.json
primary,45,task-2-aider-cgp-r2,aider,task-2,user-docstring,simple,cgp,2,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-aider-cgp-r2-evidence.json;notes/task-2-aider-cgp-r2-design.md;runs/task-2-aider-cgp-r2-run-record.json,3,1,2026-05-16T00:27:16+00:00,transcripts/aider-2026-05-16T002643+0000.json
primary,46,task-2-aider-baseline-r2,aider,task-2,user-docstring,simple,baseline,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:27:33+00:00,transcripts/aider-2026-05-16T002726+0000.json
primary,47,task-2-aider-cgp-r3,aider,task-2,user-docstring,simple,cgp,3,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,4,benchmark-repo/src/models/user.py;evidence/task-2-aider-cgp-r3-evidence.json;notes/task-2-aider-cgp-r3-design.md;runs/task-2-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:28:21+00:00,transcripts/aider-2026-05-16T002755+0000.json
primary,48,task-2-aider-baseline-r3,aider,task-2,user-docstring,simple,baseline,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:28:41+00:00,transcripts/aider-2026-05-16T002837+0000.json
primary,49,task-4-aider-baseline-r1,aider,task-4,parse-config-refactor,medium,baseline,1,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:29:44+00:00,transcripts/aider-2026-05-16T002939+0000.json
primary,50,task-4-aider-cgp-r1,aider,task-4,parse-config-refactor,medium,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,4,benchmark-repo/src/utils/config.py;evidence/task-4-aider-cgp-r1-evidence.json;notes/task-4-aider-cgp-r1-design.md;runs/task-4-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:30:50+00:00,transcripts/aider-2026-05-16T003025+0000.json
primary,51,task-4-aider-baseline-r2,aider,task-4,parse-config-refactor,medium,baseline,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:32:33+00:00,transcripts/aider-2026-05-16T003228+0000.json
primary,52,task-4-aider-cgp-r2,aider,task-4,parse-config-refactor,medium,cgp,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,1,1,1,1,1,notes/task-4-aider-cgp-r2-run-record.json,4,benchmark-repo/src/utils/config.py;evidence/task-4-aider-cgp-r2-evidence.json;notes/task-4-aider-cgp-r2-design.md;notes/task-4-aider-cgp-r2-run-record.json,2,0,2026-05-16T00:33:02+00:00,transcripts/aider-2026-05-16T003237+0000.json
primary,53,task-4-aider-baseline-r3,aider,task-4,parse-config-refactor,medium,baseline,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:37:26+00:00,transcripts/aider-2026-05-16T003720+0000.json
primary,54,task-4-aider-cgp-r3,aider,task-4,parse-config-refactor,medium,cgp,3,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,4,benchmark-repo/src/utils/config.py;evidence/task-4-aider-cgp-r3-evidence.json;notes/task-4-aider-cgp-r3-design.md;runs/task-4-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:40:47+00:00,transcripts/aider-2026-05-16T004012+0000.json
primary,55,task-5-aider-cgp-r1,aider,task-5,favorite-items,complex,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,6,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py;evidence/task-5-aider-cgp-r1-evidence.json;notes/task-5-aider-cgp-r1-design.md;runs/task-5-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:42:14+00:00,transcripts/aider-2026-05-16T004124+0000.json
primary,56,task-5-aider-baseline-r1,aider,task-5,favorite-items,complex,baseline,1,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:43:54+00:00,transcripts/aider-2026-05-16T004347+0000.json
primary,57,task-5-aider-cgp-r2,aider,task-5,favorite-items,complex,cgp,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,1,0,0,0,0,,6,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py;evidence/task-5-aider-cgp-r2-evidence.json;notes/task-5-aider-cgp-r2-design.md;runs/task-5-aider-cgp-r2-run-record.json,3,1,2026-05-16T00:46:31+00:00,transcripts/aider-2026-05-16T004551+0000.json
primary,58,task-5-aider-baseline-r2,aider,task-5,favorite-items,complex,baseline,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:46:46+00:00,transcripts/aider-2026-05-16T004639+0000.json
primary,59,task-5-aider-cgp-r3,aider,task-5,favorite-items,complex,cgp,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,1,0,0,0,0,,6,benchmark-repo/src/api/routes/items.py;benchmark-repo/src/models/user.py;benchmark-repo/tests/test_items.py;evidence/task-5-aider-cgp-r3-evidence.json;notes/task-5-aider-cgp-r3-design.md;runs/task-5-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:47:39+00:00,transcripts/aider-2026-05-16T004655+0000.json
primary,60,task-5-aider-baseline-r3,aider,task-5,favorite-items,complex,baseline,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:47:52+00:00,transcripts/aider-2026-05-16T004745+0000.json
primary,61,task-3-aider-cgp-r1,aider,task-3,user-items-endpoint,medium,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-aider-cgp-r1-evidence.json;notes/task-3-aider-cgp-r1-design.md;runs/task-3-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:48:35+00:00,transcripts/aider-2026-05-16T004804+0000.json
primary,62,task-3-aider-baseline-r1,aider,task-3,user-items-endpoint,medium,baseline,1,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:49:10+00:00,transcripts/aider-2026-05-16T004847+0000.json
primary,63,task-3-aider-cgp-r2,aider,task-3,user-items-endpoint,medium,cgp,2,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-aider-cgp-r2-evidence.json;notes/task-3-aider-cgp-r2-design.md;runs/task-3-aider-cgp-r2-run-record.json,3,1,2026-05-16T00:50:43+00:00,transcripts/aider-2026-05-16T005007+0000.json
primary,64,task-3-aider-baseline-r2,aider,task-3,user-items-endpoint,medium,baseline,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:52:29+00:00,transcripts/aider-2026-05-16T005208+0000.json
primary,65,task-3-aider-cgp-r3,aider,task-3,user-items-endpoint,medium,cgp,3,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/src/api/routes/users.py;benchmark-repo/tests/test_users.py;evidence/task-3-aider-cgp-r3-evidence.json;notes/task-3-aider-cgp-r3-design.md;runs/task-3-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:53:58+00:00,transcripts/aider-2026-05-16T005311+0000.json
primary,66,task-3-aider-baseline-r3,aider,task-3,user-items-endpoint,medium,baseline,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:54:17+00:00,transcripts/aider-2026-05-16T005403+0000.json
primary,67,task-1-aider-cgp-r1,aider,task-1,input-validation,simple,cgp,1,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-aider-cgp-r1-evidence.json;notes/task-1-aider-cgp-r1-design.md;runs/task-1-aider-cgp-r1-run-record.json,3,1,2026-05-16T00:55:12+00:00,transcripts/aider-2026-05-16T005430+0000.json
primary,68,task-1-aider-baseline-r1,aider,task-1,input-validation,simple,baseline,1,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:55:40+00:00,transcripts/aider-2026-05-16T005530+0000.json
primary,69,task-1-aider-cgp-r2,aider,task-1,input-validation,simple,cgp,2,completed,completed_valid,valid,1,1,0,aider-message-file,1,1,1,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-aider-cgp-r2-evidence.json;notes/task-1-aider-cgp-r2-design.md;runs/task-1-aider-cgp-r2-run-record.json,3,1,2026-05-16T00:56:47+00:00,transcripts/aider-2026-05-16T005607+0000.json
primary,70,task-1-aider-baseline-r2,aider,task-1,input-validation,simple,baseline,2,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T00:58:56+00:00,transcripts/aider-2026-05-16T005851+0000.json
primary,71,task-1-aider-cgp-r3,aider,task-1,input-validation,simple,cgp,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,1,0,0,0,0,,5,benchmark-repo/src/api/validators.py;benchmark-repo/tests/test_validators.py;evidence/task-1-aider-cgp-r3-evidence.json;notes/task-1-aider-cgp-r3-design.md;runs/task-1-aider-cgp-r3-run-record.json,3,1,2026-05-16T00:59:56+00:00,transcripts/aider-2026-05-16T005909+0000.json
primary,72,task-1-aider-baseline-r3,aider,task-1,input-validation,simple,baseline,3,completed,completed_invalid,invalid,1,0,1,aider-message-file,0,1,1,0,0,,0,,,,2026-05-16T01:00:30+00:00,transcripts/aider-2026-05-16T010024+0000.json
